"Path","Category","Status","SizeKB","LastWrite","Notes"
"outputs\checkpoints\real_fc_hmarl_final_v3\local_agent_2_episode_5000.replay.npz","Large Artifact","LARGE","75503.94","9/3/2026 11:31:23 PM","File is at least 50 MB. Retain if needed for reproducibility; review upload size before submission."
"outputs\checkpoints\real_fc_hmarl_final_v3\local_agent_3_episode_3500.replay.npz","Large Artifact","LARGE","52621.25","9/3/2026 9:30:05 PM","File is at least 50 MB. Retain if needed for reproducibility; review upload size before submission."
"outputs\checkpoints\real_fc_hmarl_final_v3\local_agent_3_episode_3600.replay.npz","Large Artifact","LARGE","54136.08","9/3/2026 9:35:11 PM","File is at least 50 MB. Retain if needed for reproducibility; review upload size before submission."
"outputs\checkpoints\real_fc_hmarl_final_v3\local_agent_3_episode_3700.replay.npz","Large Artifact","LARGE","55635.14","9/3/2026 10:04:38 PM","File is at least 50 MB. Retain if needed for reproducibility; review upload size before submission."
"outputs\checkpoints\real_fc_hmarl_final_v3\local_agent_3_episode_3800.replay.npz","Large Artifact","LARGE","57156.27","9/3/2026 10:11:13 PM","File is at least 50 MB. Retain if needed for reproducibility; review upload size before submission."
"outputs\checkpoints\real_fc_hmarl_final_v3\local_agent_3_episode_3900.replay.npz","Large Artifact","LARGE","58653.37","9/3/2026 10:17:43 PM","File is at least 50 MB. Retain if needed for reproducibility; review upload size before submission."
"outputs\checkpoints\real_fc_hmarl_final_v3\local_agent_3_episode_4000.replay.npz","Large Artifact","LARGE","60181.59","9/3/2026 10:24:14 PM","File is at least 50 MB. Retain if needed for reproducibility; review upload size before submission."
"outputs\checkpoints\real_fc_hmarl_final_v3\local_agent_3_episode_4100.replay.npz","Large Artifact","LARGE","61702.75","9/3/2026 10:30:59 PM","File is at least 50 MB. Retain if needed for reproducibility; review upload size before submission."
"outputs\checkpoints\real_fc_hmarl_final_v3\local_agent_3_episode_4200.replay.npz","Large Artifact","LARGE","63210.04","9/3/2026 10:38:01 PM","File is at least 50 MB. Retain if needed for reproducibility; review upload size before submission."
"outputs\checkpoints\real_fc_hmarl_final_v3\local_agent_3_episode_4300.replay.npz","Large Artifact","LARGE","64723","9/3/2026 10:44:44 PM","File is at least 50 MB. Retain if needed for reproducibility; review upload size before submission."
"outputs\checkpoints\real_fc_hmarl_final_v3\local_agent_3_episode_4400.replay.npz","Large Artifact","LARGE","66234.8","9/3/2026 10:51:14 PM","File is at least 50 MB. Retain if needed for reproducibility; review upload size before submission."
"outputs\checkpoints\real_fc_hmarl_final_v3\local_agent_3_episode_4500.replay.npz","Large Artifact","LARGE","67743.16","9/3/2026 10:57:45 PM","File is at least 50 MB. Retain if needed for reproducibility; review upload size before submission."
"outputs\checkpoints\real_fc_hmarl_final_v3\local_agent_3_episode_4600.replay.npz","Large Artifact","LARGE","69253.57","9/3/2026 11:04:27 PM","File is at least 50 MB. Retain if needed for reproducibility; review upload size before submission."
"outputs\checkpoints\real_fc_hmarl_final_v3\local_agent_3_episode_4700.replay.npz","Large Artifact","LARGE","70755.43","9/3/2026 11:11:12 PM","File is at least 50 MB. Retain if needed for reproducibility; review upload size before submission."
"outputs\checkpoints\real_fc_hmarl_final_v3\local_agent_3_episode_4800.replay.npz","Large Artifact","LARGE","72264.26","9/3/2026 11:17:53 PM","File is at least 50 MB. Retain if needed for reproducibility; review upload size before submission."
"outputs\checkpoints\real_fc_hmarl_final_v3\local_agent_3_episode_4900.replay.npz","Large Artifact","LARGE","73764.19","9/3/2026 11:24:43 PM","File is at least 50 MB. Retain if needed for reproducibility; review upload size before submission."
"outputs\checkpoints\real_fc_hmarl_final_v3\local_agent_3_episode_5000.replay.npz","Large Artifact","LARGE","75276.33","9/3/2026 11:31:26 PM","File is at least 50 MB. Retain if needed for reproducibility; review upload size before submission."
"outputs\checkpoints\real_fc_hmarl_final_v3\local_agent_4_episode_3500.replay.npz","Large Artifact","LARGE","52553.41","9/3/2026 9:30:08 PM","File is at least 50 MB. Retain if needed for reproducibility; review upload size before submission."
"outputs\checkpoints\real_fc_hmarl_final_v3\local_agent_4_episode_3600.replay.npz","Large Artifact","LARGE","54067.68","9/3/2026 9:35:14 PM","File is at least 50 MB. Retain if needed for reproducibility; review upload size before submission."
"outputs\checkpoints\real_fc_hmarl_final_v3\local_agent_4_episode_3700.replay.npz","Large Artifact","LARGE","55565.81","9/3/2026 10:04:40 PM","File is at least 50 MB. Retain if needed for reproducibility; review upload size before submission."
"outputs\checkpoints\real_fc_hmarl_final_v3\local_agent_4_episode_3800.replay.npz","Large Artifact","LARGE","57086.24","9/3/2026 10:11:16 PM","File is at least 50 MB. Retain if needed for reproducibility; review upload size before submission."
"outputs\checkpoints\real_fc_hmarl_final_v3\local_agent_4_episode_3900.replay.npz","Large Artifact","LARGE","58583.57","9/3/2026 10:17:46 PM","File is at least 50 MB. Retain if needed for reproducibility; review upload size before submission."
"outputs\checkpoints\real_fc_hmarl_final_v3\local_agent_4_episode_4000.replay.npz","Large Artifact","LARGE","60112.32","9/3/2026 10:24:17 PM","File is at least 50 MB. Retain if needed for reproducibility; review upload size before submission."
"outputs\checkpoints\real_fc_hmarl_final_v3\local_agent_4_episode_4100.replay.npz","Large Artifact","LARGE","61632.09","9/3/2026 10:31:02 PM","File is at least 50 MB. Retain if needed for reproducibility; review upload size before submission."
"outputs\checkpoints\real_fc_hmarl_final_v3\local_agent_4_episode_4200.replay.npz","Large Artifact","LARGE","63139.13","9/3/2026 10:38:04 PM","File is at least 50 MB. Retain if needed for reproducibility; review upload size before submission."
"outputs\checkpoints\real_fc_hmarl_final_v3\local_agent_4_episode_4300.replay.npz","Large Artifact","LARGE","64652.67","9/3/2026 10:44:48 PM","File is at least 50 MB. Retain if needed for reproducibility; review upload size before submission."
"outputs\checkpoints\real_fc_hmarl_final_v3\local_agent_4_episode_4400.replay.npz","Large Artifact","LARGE","66166.2","9/3/2026 10:51:17 PM","File is at least 50 MB. Retain if needed for reproducibility; review upload size before submission."
"outputs\checkpoints\real_fc_hmarl_final_v3\local_agent_4_episode_4500.replay.npz","Large Artifact","LARGE","67675.76","9/3/2026 10:57:49 PM","File is at least 50 MB. Retain if needed for reproducibility; review upload size before submission."
"outputs\checkpoints\real_fc_hmarl_final_v3\local_agent_4_episode_4600.replay.npz","Large Artifact","LARGE","69188.64","9/3/2026 11:04:31 PM","File is at least 50 MB. Retain if needed for reproducibility; review upload size before submission."
"outputs\checkpoints\real_fc_hmarl_final_v3\local_agent_4_episode_4700.replay.npz","Large Artifact","LARGE","70692.13","9/3/2026 11:11:16 PM","File is at least 50 MB. Retain if needed for reproducibility; review upload size before submission."
"outputs\checkpoints\real_fc_hmarl_final_v3\local_agent_4_episode_4800.replay.npz","Large Artifact","LARGE","72203.2","9/3/2026 11:17:57 PM","File is at least 50 MB. Retain if needed for reproducibility; review upload size before submission."
"outputs\checkpoints\real_fc_hmarl_final_v3\local_agent_4_episode_4900.replay.npz","Large Artifact","LARGE","73706.15","9/3/2026 11:24:47 PM","File is at least 50 MB. Retain if needed for reproducibility; review upload size before submission."
"outputs\checkpoints\real_fc_hmarl_final_v3\local_agent_4_episode_5000.replay.npz","Large Artifact","LARGE","75221.16","9/3/2026 11:31:30 PM","File is at least 50 MB. Retain if needed for reproducibility; review upload size before submission."
"outputs\checkpoints\real_fc_hmarl_final_v3\local_agent_5_episode_3500.replay.npz","Large Artifact","LARGE","52678.08","9/3/2026 9:30:10 PM","File is at least 50 MB. Retain if needed for reproducibility; review upload size before submission."
"outputs\checkpoints\real_fc_hmarl_final_v3\local_agent_5_episode_3600.replay.npz","Large Artifact","LARGE","54190.46","9/3/2026 9:35:17 PM","File is at least 50 MB. Retain if needed for reproducibility; review upload size before submission."
"outputs\checkpoints\real_fc_hmarl_final_v3\local_agent_5_episode_3700.replay.npz","Large Artifact","LARGE","55686.21","9/3/2026 10:04:43 PM","File is at least 50 MB. Retain if needed for reproducibility; review upload size before submission."
"outputs\checkpoints\real_fc_hmarl_final_v3\local_agent_5_episode_3800.replay.npz","Large Artifact","LARGE","57204.62","9/3/2026 10:11:19 PM","File is at least 50 MB. Retain if needed for reproducibility; review upload size before submission."
"outputs\checkpoints\real_fc_hmarl_final_v3\local_agent_5_episode_3900.replay.npz","Large Artifact","LARGE","58699.25","9/3/2026 10:17:49 PM","File is at least 50 MB. Retain if needed for reproducibility; review upload size before submission."
"outputs\checkpoints\real_fc_hmarl_final_v3\local_agent_5_episode_4000.replay.npz","Large Artifact","LARGE","60224.49","9/3/2026 10:24:20 PM","File is at least 50 MB. Retain if needed for reproducibility; review upload size before submission."
"outputs\checkpoints\real_fc_hmarl_final_v3\local_agent_5_episode_4100.replay.npz","Large Artifact","LARGE","61741.2","9/3/2026 10:31:05 PM","File is at least 50 MB. Retain if needed for reproducibility; review upload size before submission."
"outputs\checkpoints\real_fc_hmarl_final_v3\local_agent_5_episode_4200.replay.npz","Large Artifact","LARGE","63243.66","9/3/2026 10:38:07 PM","File is at least 50 MB. Retain if needed for reproducibility; review upload size before submission."
"outputs\checkpoints\real_fc_hmarl_final_v3\local_agent_5_episode_4300.replay.npz","Large Artifact","LARGE","64752.52","9/3/2026 10:44:51 PM","File is at least 50 MB. Retain if needed for reproducibility; review upload size before submission."
"outputs\checkpoints\real_fc_hmarl_final_v3\local_agent_5_episode_4400.replay.npz","Large Artifact","LARGE","66260.77","9/3/2026 10:51:20 PM","File is at least 50 MB. Retain if needed for reproducibility; review upload size before submission."
"outputs\checkpoints\real_fc_hmarl_final_v3\local_agent_5_episode_4500.replay.npz","Large Artifact","LARGE","67765.52","9/3/2026 10:57:52 PM","File is at least 50 MB. Retain if needed for reproducibility; review upload size before submission."
"outputs\checkpoints\real_fc_hmarl_final_v3\local_agent_5_episode_4600.replay.npz","Large Artifact","LARGE","69272.72","9/3/2026 11:04:34 PM","File is at least 50 MB. Retain if needed for reproducibility; review upload size before submission."
"outputs\checkpoints\real_fc_hmarl_final_v3\local_agent_5_episode_4700.replay.npz","Large Artifact","LARGE","70770.73","9/3/2026 11:11:19 PM","File is at least 50 MB. Retain if needed for reproducibility; review upload size before submission."
"outputs\checkpoints\real_fc_hmarl_final_v3\local_agent_5_episode_4800.replay.npz","Large Artifact","LARGE","72275.33","9/3/2026 11:18:00 PM","File is at least 50 MB. Retain if needed for reproducibility; review upload size before submission."
"outputs\checkpoints\real_fc_hmarl_final_v3\local_agent_5_episode_4900.replay.npz","Large Artifact","LARGE","73771.34","9/3/2026 11:24:50 PM","File is at least 50 MB. Retain if needed for reproducibility; review upload size before submission."
"outputs\checkpoints\real_fc_hmarl_final_v3\local_agent_5_episode_5000.replay.npz","Large Artifact","LARGE","75279.35","9/3/2026 11:31:33 PM","File is at least 50 MB. Retain if needed for reproducibility; review upload size before submission."
"generate_final_forecasting_figure.py","Plotting Script","REVIEW","21.24","9/4/2026 3:55:13 AM","Verify input workbook path and confirm no synthetic or random publication data are introduced."
"generate_forecast_confidence_evolution_figure.py","Plotting Script","REVIEW","8.47","9/4/2026 4:20:28 AM","Verify input workbook path and confirm no synthetic or random publication data are introduced."
"generate_forecast_horizon_performance_figure.py","Plotting Script","REVIEW","11.16","9/4/2026 4:13:27 AM","Verify input workbook path and confirm no synthetic or random publication data are introduced."
"generate_operational_dynamics_figure.py","Plotting Script","REVIEW","19.18","9/4/2026 4:24:26 AM","Verify input workbook path and confirm no synthetic or random publication data are introduced."
"generate_risk_revenue_sensitivity_figure.py","Plotting Script","REVIEW","24.25","9/4/2026 4:28:02 AM","Verify input workbook path and confirm no synthetic or random publication data are introduced."
"generate_step7q_publication_figures.py","Plotting Script","REVIEW","5.75","9/1/2026 8:08:16 PM","Verify input workbook path and confirm no synthetic or random publication data are introduced."
"generate_training_convergence_figure.py","Plotting Script","REVIEW","13.59","9/4/2026 4:47:07 AM","Verify input workbook path and confirm no synthetic or random publication data are introduced."
"generate_uncertainty_propagation_figure.py","Plotting Script","REVIEW","17.01","9/4/2026 4:02:59 AM","Verify input workbook path and confirm no synthetic or random publication data are introduced."
"generate_vpp_case_study_comparison_figure.py","Plotting Script","REVIEW","11.17","9/4/2026 4:42:38 AM","Verify input workbook path and confirm no synthetic or random publication data are introduced."
"generate_vpp_economic_operational_figure.py","Plotting Script","REVIEW","15.06","9/4/2026 4:37:42 AM","Verify input workbook path and confirm no synthetic or random publication data are introduced."
"data\Publication\forecasting_figure_data.xlsx","Primary Excel","REVIEW","22.11","7/26/2026 1:54:11 AM","Primary plotting/data workbook; verify final-V3 versus historical/manuscript provenance."
"data\Publication\uncertainty_propagation_figure_data.xlsx","Primary Excel","REVIEW","17.37","7/26/2026 4:29:27 PM","Primary plotting/data workbook; verify final-V3 versus historical/manuscript provenance."
"evaluation\data\case_studies\vpp_case_study_comparison_data.xlsx","Primary Excel","REVIEW","10.84","7/30/2026 2:22:00 AM","Primary plotting/data workbook; verify final-V3 versus historical/manuscript provenance."
"evaluation\data\forecast_horizon\forecast_horizon_metrics.xlsx","Primary Excel","REVIEW","12.88","9/4/2026 4:15:17 AM","Primary plotting/data workbook; verify final-V3 versus historical/manuscript provenance."
"evaluation\data\operational\fc_hmarl_operational_dynamics.xlsx","Primary Excel","REVIEW","47.36","7/26/2026 1:02:35 AM","Primary plotting/data workbook; verify final-V3 versus historical/manuscript provenance."
"evaluation\data\risk_economic\risk_revenue_sensitivity_data.xlsx","Primary Excel","REVIEW","14.46","7/26/2026 12:52:25 AM","Primary plotting/data workbook; verify final-V3 versus historical/manuscript provenance."
"evaluation\data\training_diagnostics\fc_hmarl_training_convergence_data.xlsx","Primary Excel","REVIEW","713.4","7/26/2026 6:40:04 PM","Primary plotting/data workbook; verify final-V3 versus historical/manuscript provenance."
"evaluation\data\vpp_performance\vpp_economic_operational_performance.xlsx","Primary Excel","REVIEW","12.47","7/30/2026 1:53:23 AM","Primary plotting/data workbook; verify final-V3 versus historical/manuscript provenance."
"forecasting\confidence_data\forecast_confidence_evolution_data.xlsx","Primary Excel","REVIEW","24.25","7/25/2026 8:11:58 PM","Primary plotting/data workbook; verify final-V3 versus historical/manuscript provenance."
"outputs\figures\FC_HMARL_Forecasting_Performance_FINAL.pdf","Publication Figure","REVIEW","39.1","9/4/2026 4:15:27 AM","Figure exists; verify its generating script and source data."
"outputs\figures\FC_HMARL_Forecasting_Performance_FINAL.png","Publication Figure","REVIEW","2432.97","9/4/2026 4:15:29 AM","Figure exists; verify its generating script and source data."
"outputs\figures\FC_HMARL_Forecasting_Performance_FINAL.svg","Publication Figure","REVIEW","216.32","9/4/2026 4:15:27 AM","Figure exists; verify its generating script and source data."
"outputs\figures\Figure1_Expanded_Bars.pdf","Publication Figure","REVIEW","53.61","9/4/2026 4:20:46 AM","Figure exists; verify its generating script and source data."
"outputs\figures\Figure1_Expanded_Bars.png","Publication Figure","REVIEW","1238.27","9/4/2026 4:20:47 AM","Figure exists; verify its generating script and source data."
"outputs\figures\Figure1_Expanded_Bars.svg","Publication Figure","REVIEW","228.2","9/4/2026 4:20:46 AM","Figure exists; verify its generating script and source data."
"outputs\figures\Figure2_Uncertainty_Propagation.pdf","Publication Figure","REVIEW","168","9/4/2026 4:04:39 AM","Figure exists; verify its generating script and source data."
"outputs\figures\Figure2_Uncertainty_Propagation.png","Publication Figure","REVIEW","1887.52","9/4/2026 4:04:40 AM","Figure exists; verify its generating script and source data."
"outputs\figures\Figure2_Uncertainty_Propagation.svg","Publication Figure","REVIEW","522.78","9/4/2026 4:04:38 AM","Figure exists; verify its generating script and source data."
"outputs\figures\Figure3_Training_Convergence.pdf","Publication Figure","REVIEW","1064.78","9/4/2026 4:47:32 AM","Figure exists; verify its generating script and source data."
"outputs\figures\Figure3_Training_Convergence.png","Publication Figure","REVIEW","2271.07","9/4/2026 4:47:33 AM","Figure exists; verify its generating script and source data."
"outputs\figures\Figure3_Training_Convergence.svg","Publication Figure","REVIEW","3134.65","9/4/2026 4:47:31 AM","Figure exists; verify its generating script and source data."
"outputs\figures\Figure6_Forecasting_Performance.pdf","Publication Figure","REVIEW","69.78","9/4/2026 3:55:37 AM","Figure exists; verify its generating script and source data."
"outputs\figures\Figure6_Forecasting_Performance.png","Publication Figure","REVIEW","1920.19","9/4/2026 3:55:38 AM","Figure exists; verify its generating script and source data."
"outputs\figures\Figure6_Forecasting_Performance.svg","Publication Figure","REVIEW","360.86","9/4/2026 3:55:36 AM","Figure exists; verify its generating script and source data."
"outputs\figures\Figure7_Operational_Dynamics.pdf","Publication Figure","REVIEW","71.8","9/4/2026 4:24:41 AM","Figure exists; verify its generating script and source data."
"outputs\figures\Figure7_Operational_Dynamics.png","Publication Figure","REVIEW","2566.6","9/4/2026 4:24:42 AM","Figure exists; verify its generating script and source data."
"outputs\figures\Figure7_Operational_Dynamics.svg","Publication Figure","REVIEW","329.94","9/4/2026 4:24:41 AM","Figure exists; verify its generating script and source data."
"outputs\figures\Figure8_Risk_Revenue_Sensitivity.pdf","Publication Figure","REVIEW","50.13","9/4/2026 4:28:18 AM","Figure exists; verify its generating script and source data."
"outputs\figures\Figure8_Risk_Revenue_Sensitivity.png","Publication Figure","REVIEW","2232.55","9/4/2026 4:28:20 AM","Figure exists; verify its generating script and source data."
"outputs\figures\Figure8_Risk_Revenue_Sensitivity.svg","Publication Figure","REVIEW","304.58","9/4/2026 4:28:18 AM","Figure exists; verify its generating script and source data."
"outputs\figures\step7q\Fig_7Q_A1_Benchmark_Comparison.pdf","Publication Figure","REVIEW","27.15","9/1/2026 8:08:33 PM","Figure exists; verify its generating script and source data."
"outputs\figures\step7q\Fig_7Q_A1_Benchmark_Comparison.png","Publication Figure","REVIEW","452.73","9/1/2026 8:08:33 PM","Figure exists; verify its generating script and source data."
"outputs\figures\step7q\Fig_7Q_A2_Risk_Comparison.pdf","Publication Figure","REVIEW","25.55","9/1/2026 8:08:34 PM","Figure exists; verify its generating script and source data."
"outputs\figures\step7q\Fig_7Q_A2_Risk_Comparison.png","Publication Figure","REVIEW","267.36","9/1/2026 8:08:34 PM","Figure exists; verify its generating script and source data."
"outputs\figures\step7q\Fig_7Q_B1_Load_PV_EV.pdf","Publication Figure","REVIEW","23.98","9/1/2026 8:12:25 PM","Figure exists; verify its generating script and source data."
"outputs\figures\step7q\Fig_7Q_B1_Load_PV_EV.png","Publication Figure","REVIEW","443.41","9/1/2026 8:12:25 PM","Figure exists; verify its generating script and source data."
"outputs\figures\step7q\Fig_7Q_B2_Grid_BESS.pdf","Publication Figure","REVIEW","22.83","9/1/2026 8:12:25 PM","Figure exists; verify its generating script and source data."
"outputs\figures\step7q\Fig_7Q_B2_Grid_BESS.png","Publication Figure","REVIEW","323.2","9/1/2026 8:12:25 PM","Figure exists; verify its generating script and source data."
"outputs\figures\step7q\Fig_7Q_B3_BESS_SOC.pdf","Publication Figure","REVIEW","22.71","9/1/2026 8:12:26 PM","Figure exists; verify its generating script and source data."
"outputs\figures\step7q\Fig_7Q_B3_BESS_SOC.png","Publication Figure","REVIEW","212.94","9/1/2026 8:12:26 PM","Figure exists; verify its generating script and source data."
"outputs\figures\step7q\Fig_7Q_B4_Sharing_Price.pdf","Publication Figure","REVIEW","25.42","9/1/2026 8:12:26 PM","Figure exists; verify its generating script and source data."
"outputs\figures\step7q\Fig_7Q_B4_Sharing_Price.png","Publication Figure","REVIEW","518.28","9/1/2026 8:12:26 PM","Figure exists; verify its generating script and source data."
"outputs\figures\VPP_Case_Study_Comparison.pdf","Publication Figure","REVIEW","88.37","9/4/2026 4:42:56 AM","Figure exists; verify its generating script and source data."
"outputs\figures\VPP_Case_Study_Comparison.png","Publication Figure","REVIEW","1517.57","9/4/2026 4:42:57 AM","Figure exists; verify its generating script and source data."
"outputs\figures\VPP_Case_Study_Comparison.svg","Publication Figure","REVIEW","535.44","9/4/2026 4:42:55 AM","Figure exists; verify its generating script and source data."
"outputs\figures\VPP_Economic_Operational_Performance.pdf","Publication Figure","REVIEW","57.74","9/4/2026 4:37:59 AM","Figure exists; verify its generating script and source data."
"outputs\figures\VPP_Economic_Operational_Performance.png","Publication Figure","REVIEW","2353.91","9/4/2026 4:38:00 AM","Figure exists; verify its generating script and source data."
"outputs\figures\VPP_Economic_Operational_Performance.svg","Publication Figure","REVIEW","348.87","9/4/2026 4:37:59 AM","Figure exists; verify its generating script and source data."
"build_economic_operational_performance_table.py","Table Script","REVIEW","6.69","9/4/2026 2:49:21 AM","Verify table values originate from validated final V3 results."
"build_final_benchmark_ablation_tables.py","Table Script","REVIEW","11.93","9/4/2026 3:28:41 AM","Verify table values originate from validated final V3 results."
"build_final_fc_hmarl_performance_table.py","Table Script","REVIEW","10.3","9/4/2026 2:46:39 AM","Verify table values originate from validated final V3 results."
"build_mg_coordinator_performance_table.py","Table Script","REVIEW","4.07","9/4/2026 2:48:02 AM","Verify table values originate from validated final V3 results."
"data\Publication\01_publication_source_snapshot.xlsx","Supporting Excel","SUPPORTING","22.11","7/26/2026 1:54:11 AM","Derived supporting artifact; not an independent model run."
"data\Publication\02_publication_cleaned_dataset.xlsx","Supporting Excel","SUPPORTING","16.99","9/4/2026 4:52:38 AM","Derived supporting artifact; not an independent model run."
"data\Publication\03_publication_summary_statistics.xlsx","Supporting Excel","SUPPORTING","7.72","9/4/2026 4:52:38 AM","Derived supporting artifact; not an independent model run."
"data\Publication\04_publication_validation_report.xlsx","Supporting Excel","SUPPORTING","7.12","9/4/2026 4:52:38 AM","Derived supporting artifact; not an independent model run."
"evaluation\data\case_studies\01_case_studies_source_snapshot.xlsx","Supporting Excel","SUPPORTING","10.84","7/30/2026 2:22:00 AM","Derived supporting artifact; not an independent model run."
"evaluation\data\case_studies\02_case_studies_cleaned_dataset.xlsx","Supporting Excel","SUPPORTING","6.52","9/4/2026 4:52:37 AM","Derived supporting artifact; not an independent model run."
"evaluation\data\case_studies\03_case_studies_summary_statistics.xlsx","Supporting Excel","SUPPORTING","6.8","9/4/2026 4:52:37 AM","Derived supporting artifact; not an independent model run."
"evaluation\data\case_studies\04_case_studies_validation_report.xlsx","Supporting Excel","SUPPORTING","6.86","9/4/2026 4:52:37 AM","Derived supporting artifact; not an independent model run."
"evaluation\data\forecast_horizon\01_forecast_horizon_source_snapshot.xlsx","Supporting Excel","SUPPORTING","12.88","9/4/2026 4:15:17 AM","Derived supporting artifact; not an independent model run."
"evaluation\data\forecast_horizon\02_forecast_horizon_cleaned_dataset.xlsx","Supporting Excel","SUPPORTING","7.47","9/4/2026 4:52:38 AM","Derived supporting artifact; not an independent model run."
"evaluation\data\forecast_horizon\03_forecast_horizon_summary_statistics.xlsx","Supporting Excel","SUPPORTING","6.45","9/4/2026 4:52:38 AM","Derived supporting artifact; not an independent model run."
"evaluation\data\forecast_horizon\04_forecast_horizon_validation_report.xlsx","Supporting Excel","SUPPORTING","6.32","9/4/2026 4:52:38 AM","Derived supporting artifact; not an independent model run."
"evaluation\data\operational\01_operational_source_snapshot.xlsx","Supporting Excel","SUPPORTING","47.36","7/26/2026 1:02:35 AM","Derived supporting artifact; not an independent model run."
"evaluation\data\operational\02_operational_cleaned_dataset.xlsx","Supporting Excel","SUPPORTING","39.9","9/4/2026 4:52:36 AM","Derived supporting artifact; not an independent model run."
"evaluation\data\operational\03_operational_summary_statistics.xlsx","Supporting Excel","SUPPORTING","5.86","9/4/2026 4:52:36 AM","Derived supporting artifact; not an independent model run."
"evaluation\data\operational\04_operational_validation_report.xlsx","Supporting Excel","SUPPORTING","5.62","9/4/2026 4:52:36 AM","Derived supporting artifact; not an independent model run."
"evaluation\data\risk_economic\01_risk_economic_source_snapshot.xlsx","Supporting Excel","SUPPORTING","14.46","7/26/2026 12:52:25 AM","Derived supporting artifact; not an independent model run."
"evaluation\data\risk_economic\02_risk_economic_cleaned_dataset.xlsx","Supporting Excel","SUPPORTING","8.85","9/4/2026 4:52:36 AM","Derived supporting artifact; not an independent model run."
"evaluation\data\risk_economic\03_risk_economic_summary_statistics.xlsx","Supporting Excel","SUPPORTING","9.49","9/4/2026 4:52:36 AM","Derived supporting artifact; not an independent model run."
"evaluation\data\risk_economic\04_risk_economic_validation_report.xlsx","Supporting Excel","SUPPORTING","9.45","9/4/2026 4:52:37 AM","Derived supporting artifact; not an independent model run."
"evaluation\data\training_diagnostics\01_training_diagnostics_source_snapshot.xlsx","Supporting Excel","SUPPORTING","713.4","7/26/2026 6:40:04 PM","Derived supporting artifact; not an independent model run."
"evaluation\data\training_diagnostics\02_training_diagnostics_cleaned_dataset.xlsx","Supporting Excel","SUPPORTING","713.21","9/4/2026 4:52:38 AM","Derived supporting artifact; not an independent model run."
"evaluation\data\training_diagnostics\03_training_diagnostics_summary_statistics.xlsx","Supporting Excel","SUPPORTING","7.41","9/4/2026 4:52:38 AM","Derived supporting artifact; not an independent model run."
"evaluation\data\training_diagnostics\04_training_diagnostics_validation_report.xlsx","Supporting Excel","SUPPORTING","7.11","9/4/2026 4:52:38 AM","Derived supporting artifact; not an independent model run."
"evaluation\data\vpp_performance\01_vpp_performance_source_snapshot.xlsx","Supporting Excel","SUPPORTING","12.47","7/30/2026 1:53:23 AM","Derived supporting artifact; not an independent model run."
"evaluation\data\vpp_performance\02_vpp_performance_cleaned_dataset.xlsx","Supporting Excel","SUPPORTING","7.68","9/4/2026 4:52:37 AM","Derived supporting artifact; not an independent model run."
"evaluation\data\vpp_performance\03_vpp_performance_summary_statistics.xlsx","Supporting Excel","SUPPORTING","5.89","9/4/2026 4:52:37 AM","Derived supporting artifact; not an independent model run."
"evaluation\data\vpp_performance\04_vpp_performance_validation_report.xlsx","Supporting Excel","SUPPORTING","5.68","9/4/2026 4:52:37 AM","Derived supporting artifact; not an independent model run."
"forecasting\confidence_data\01_confidence_data_source_snapshot.xlsx","Supporting Excel","SUPPORTING","24.25","7/25/2026 8:11:58 PM","Derived supporting artifact; not an independent model run."
"forecasting\confidence_data\02_confidence_data_cleaned_dataset.xlsx","Supporting Excel","SUPPORTING","18.04","9/4/2026 4:52:38 AM","Derived supporting artifact; not an independent model run."
"forecasting\confidence_data\03_confidence_data_summary_statistics.xlsx","Supporting Excel","SUPPORTING","6.73","9/4/2026 4:52:38 AM","Derived supporting artifact; not an independent model run."
"forecasting\confidence_data\04_confidence_data_validation_report.xlsx","Supporting Excel","SUPPORTING","6.45","9/4/2026 4:52:38 AM","Derived supporting artifact; not an independent model run."
